Order ID,customer_id,Product Name,Category,Price (INR),Quantity Sold,Total Sales (INR),Order Date,Payment Method,Customer Rating,Month,Year,Profit (INR),Discount %,Customer Segment,Region
ORD00001,C0112,Educational Book,Books,49069.56,2,98139.12,2024-09-12,Debit Card,3.5,September,2024,19627.824,11,Online,West
ORD00002,C0047,Jeans,Clothing,12755.85,4,51023.4,2024-12-18,UPI,3.9,December,2024,10204.68,24,Wholesale,North
ORD00003,C0148,Face Cream,Beauty,11092.19,4,44368.76,2024-05-18,Debit Card,4.4,May,2024,8873.752,19,Online,South
ORD00004,C0041,Smartwatch,Electronics,32657.81,1,32657.81,2024-11-08,Debit Card,3.2,November,2024,6531.562000000001,15,Online,North
ORD00005,C0245,Cookware Set,Home & Kitchen,26590.08,3,79770.24,2024-12-27,UPI,3.1,December,2024,15954.048000000004,12,Retail,North
ORD00006,C0262,Mixer Grinder,Home & Kitchen,10475.03,2,20950.06,2024-10-22,Wallet,1.7,October,2024,4190.012000000001,25,Wholesale,North
ORD00007,C0229,Sneakers,Clothing,38647.72,3,115943.16,2024-07-04,Wallet,2.0,July,2024,23188.632,11,Wholesale,North
ORD00008,C0265,Table Lamp,Home & Kitchen,24818.59,3,74455.77,2024-12-27,Debit Card,2.4,December,2024,14891.154000000002,30,Wholesale,South
ORD00009,C0196,Jacket,Clothing,1987.39,2,3974.78,2025-01-18,Debit Card,2.6,January,2025,794.9560000000001,23,Online,North
ORD00010,C0293,Tablet,Electronics,26876.51,2,53753.02,2024-03-14,Debit Card,4.0,March,2024,10750.604,27,Online,North
ORD00011,C0139,Perfume,Beauty,46409.57,5,232047.85,2025-02-08,UPI,2.3,February,2025,46409.57000000001,15,Online,West
ORD00012,C0021,Lipstick,Beauty,48780.78,5,243903.9,2024-04-13,UPI,1.3,April,2024,48780.78,15,Retail,South
ORD00013,C0189,Educational Book,Books,6670.82,5,33354.1,2024-02-23,COD,1.2,February,2024,6670.82,28,Online,South
ORD00014,C0255,Smartphone,Electronics,10826.05,1,10826.05,2024-06-02,Wallet,3.7,June,2024,2165.21,25,Retail,East
